id,first,last,wam,dob,course
1,John,Doe,35,1978-03-15,Engineering
2,Jane,Doe,45,1980-08-23,Mathematics
3,Michael,Smith,62,1983-02-10,Computer Science
4,Emily,Johnson,30,1990-11-30,Psychology
5,William,Brown,77,1992-07-05,History
6,Susan,Taylor,89,1989-04-20,English Literature
7,James,Anderson,20,1990-09-18,Economics
8,Sarah,Williams,10,1993-06-25,Chemistry
9,David,Johnson,81,1975-03-12,Physics
10,Rebecca,Martin,73,1991-10-08,Sociology
11,Brian,Thomas,35,1996-01-05,Political Science
12,Amy,Jones,79,1986-12-15,Statistics
13,Mark,Davis,91,1974-08-28,Biology
14,Karen,Wilson,32,1979-04-02,Geography
15,Robert,Miller,70,1990-02-25,Environmental Science
16,Laura,Clark,45,1988-11-18,Anthropology
17,Paul,Taylor,25,1996-07-11,Philosophy
18,Kevin,Anderson,69,1995-05-28,Music
19,Michelle,Smith,32,1987-03-07,Art
20,Christopher,Brown,19,1998-09-20,Theater
21,Andrew,Johnson,45,1978-06-17,Architecture
22,Nicole,Baker,33,1981-03-22,Marketing
23,Joshua,Evans,86,1983-10-14,Finance
24,Katherine,Martin,47,1985-08-02,Communications
25,Thomas,Walker,90,1980-01-09,Graphic Design
26,Olivia,Anderson,74,1983-04-05,Education
27,Nathan,Wilson,83,1985-12-11,Journalism
28,Lauren,Davis,71,1986-09-30,Linguistics
29,William,Garcia,94,1978-05-08,International Relations
30,Kimberly,Brown,36,1982-02-03,Management
31,Jonathan,Clark,80,1987-07-26,Public Relations
32,Michelle,Thomas,22,1988-11-25,Advertising
33,Matthew,Smith,97,1986-10-01,Information Technology
34,Emily,Robinson,23,1988-03-14,Human Resources
35,Daniel,Young,15,1983-04-28,Criminal Justice
36,Amber,Green,49,1988-09-19,Nursing
37,Christopher,Johnson,14,1989-01-16,Physical Therapy
38,Stephanie,Hall,98,1986-08-21,Psychiatry
39,Joseph,Wilson,32,1988-05-29,Epidemiology
40,Laura,Garcia,51,1982-06-02,Social Work
41,Ryan,Hill,76,1979-03-21,Public Health
42,Amanda,Smith,29,1984-08-27,Occupational Therapy
43,Michael,Johnson,35,1988-07-13,Kinesiology
44,Karen,Wright,48,1985-12-20,Optometry
45,David,Davis,22,1997-11-04,Dentistry
46,Ashley,Williams,47,1987-02-12,Pharmacy
47,James,Harris,73,1983-09-07,Medicine
48,Sarah,Thomas,49,1986-04-29,Veterinary Medicine
49,Joseph,Young,21,1992-05-18,Neuroscience
50,Melissa,Evans,33,1987-10-23,Genetics
51,Matthew,Clark,65,1978-08-06,Microbiology
52,Emily,Harris,37,1974-03-03,Immunology
53,Andrew,Jones,53,1968-02-28,Biochemistry
54,Kimberly,Smith,60,1963-01-03,Cell Biology
55,Brandon,Johnson,31,1982-04-08,Molecular Biology
56,Nicole,Taylor,65,1978-11-10,Developmental Biology
57,William,Young,22,1997-07-31,Plant Biology
58,Megan,Martin,69,1982-10-12,Animal Biology
59,James,Hill,77,1976-09-03,Ecology
60,Lauren,Mitchell,80,1973-12-15,Marine Biology
61,Brian,Smith,36,1987-06-26,Astronomy
62,Amanda,Miller,44,1979-05-05,Astrophysics
63,Ashley,Johnson,61,1962-08-18,Space Science
64,Michael,Clark,23,1998-03-09,Geophysics
65,Michelle,Martin,55,1968-04-24,Meteorology
66,Matthew,Robinson,43,1980-11-16,Oceanography
67,Nathan,Young,96,1974-10-28,Atmospheric Science
68,Stephanie,Williams,82,1971-01-01,Environmental Science
69,David,Anderson,81,1972-02-06,Computer Science
70,Susan,Thomas,67,1976-07-17,Mathematics
71,Kevin,Brown,67,1976-06-20,Statistics
72,Rebecca,Harris,66,1977-03-30,Physics
73,James,Wilson,95,1982-12-08,Chemistry
74,Emily,Anderson,73,1983-09-22,Biology
75,Brian,Smith,68,1984-04-18,Geography
76,Michelle,Wilson,23,1998-05-24,Psychology
77,Amanda,Johnson,55,1968-08-07,English Literature
78,Michael,Jones,29,1984-01-12,Sociology
79,Kimberly,Robinson,29,1984-10-14,Political Science
80,Joseph,Evans,62,1970-07-25,History
81,David,Martin,74,1978-08-03,Economics
82,Stephanie,Davis,97,1980-11-27,Philosophy
83,Nicole,Smith,31,1982-02-14,Music
84,William,Garcia,25,1988-03-26,Art
85,James,Hill,22,1991-09-28,Theater
86,Rebecca,Harris,45,1978-06-07,Architecture
87,Matthew,Young,23,1998-05-29,Marketing
88,Lauren,Smith,50,1983-12-04,Finance
89,Ashley,Davis,53,1980-07-16,Communications
90,Jonathan,Thomas,44,1989-08-09,Graphic Design
91,Nathan,Walker,81,1972-01-05,Education
92,Megan,Evans,57,1966-02-18,Journalism
93,Brandon,Hall,35,1988-03-01,Linguistics
94,Melissa,Martin,81,1971-06-21,International Relations
95,Katherine,Clark,68,1976-07-03,Management
96,Andrew,Harris,96,1977-12-27,Public Relations
97,Michelle,Hall,23,1998-09-10,Advertising
98,Joshua,Wilson,49,1984-10-31,Information Technology
99,Amanda,Taylor,18,2005-11-23,Human Resources
100,Joseph,Smith,22,1998-03-18,Criminal Justice
